    xMin     xMax 
    yMin     yMax 
    zMin     zMax 
-24.0530 30.0000 
-30.0000 9.2827 
-3.3686 15.0000 
-6.5725 30.0000 
-30.0000 2.3848 
0.4795 15.0000 
-1.0858 30.0000 
-30.0000 -1.6004 
2.0908 15.0000 
8.1951 30.0000 
-30.0000 -8.4480 
4.9034 15.0000 
15.1082 30.0000 
-30.0000 -14.0039 
7.4874 15.0000 
19.0593 30.0000 
-30.0000 -18.2477 
9.4313 15.0000 
21.2752 30.0000 
-30.0000 -21.1363 
10.7016 15.0000 
23.1446 30.0000 
-30.0000 -23.1971 
11.5465 15.0000 
24.6400 30.0000 
-30.0000 -24.8206 
12.1448 15.0000 
25.8755 30.0000 
-30.0000 -26.1040 
12.6268 15.0000 
26.8867 30.0000 
-30.0000 -27.0803 
13.0381 15.0000 
27.5248 30.0000 
-30.0000 -27.8073 
13.3834 15.0000 
28.0608 30.0000 
-30.0000 -28.2567 
13.6681 15.0000 
28.4368 30.0000 
-30.0000 -28.6401 
13.9017 15.0000 
28.7860 30.0000 
-30.0000 -28.9070 
14.0941 15.0000 
29.0305 30.0000 
-30.0000 -29.1501 
14.2529 15.0000 
29.2424 30.0000 
-30.0000 -29.3622 
14.3839 15.0000 
29.4061 30.0000 
-30.0000 -29.5271 
14.4919 15.0000 
29.5178 30.0000 
-30.0000 -29.6470 
14.5810 15.0000 
29.6241 30.0000 
-30.0000 -29.7182 
14.6545 15.0000 
29.7001 30.0000 
-30.0000 -29.7775 
14.7151 15.0000 
29.7678 30.0000 
-30.0000 -29.8202 
14.7650 15.0000 
29.8145 30.0000 
-30.0000 -29.8606 
14.8062 15.0000 
29.8559 30.0000 
-30.0000 -29.8888 
14.8402 15.0000 
29.8847 30.0000 
-30.0000 -29.9138 
14.8682 15.0000 
29.9046 30.0000 
-30.0000 -29.9353 
14.8913 15.0000 
29.9252 30.0000 
-30.0000 -29.9489 
14.9104 15.0000 
29.9404 30.0000 
-30.0000 -29.9600 
14.9261 15.0000 
29.9541 30.0000 
-30.0000 -29.9677 
14.9390 15.0000 
29.9634 30.0000 
-30.0000 -29.9749 
14.9497 15.0000 
29.9715 30.0000 
-30.0000 -29.9800 
14.9585 15.0000 
29.9772 30.0000 
-30.0000 -29.9845 
14.9658 15.0000 
29.9811 30.0000 
-30.0000 -29.9883 
14.9718 15.0000 
29.9852 30.0000 
-30.0000 -29.9908 
14.9768 15.0000 
29.9882 30.0000 
-30.0000 -29.9928 
14.9808 15.0000 
29.9909 30.0000 
-30.0000 -29.9942 
14.9842 15.0000 
29.9928 30.0000 
-30.0000 -29.9955 
14.9870 15.0000 
29.9944 30.0000 
-30.0000 -29.9964 
14.9892 15.0000 
29.9955 30.0000 
-30.0000 -29.9972 
14.9911 15.0000 
29.9963 30.0000 
-30.0000 -29.9979 
14.9927 15.0000 
29.9971 30.0000 
-30.0000 -29.9983 
14.9940 15.0000 
29.9977 30.0000 
-30.0000 -29.9987 
14.9950 15.0000 
29.9982 30.0000 
-30.0000 -29.9990 
14.9959 15.0000 
29.9986 30.0000 
-30.0000 -29.9992 
14.9966 15.0000 
29.9989 30.0000 
-30.0000 -29.9993 
14.9972 15.0000 
29.9991 30.0000 
