    xMin     xMax 
    yMin     yMax 
    zMin     zMax 
-14.5831 30.0000 
-30.0000 9.3465 
-2.7592 15.0000 
3.7964 30.0000 
-30.0000 2.4618 
-0.0958 15.0000 
9.0054 30.0000 
-30.0000 -2.1801 
1.3646 15.0000 
12.9707 30.0000 
-30.0000 -7.5597 
4.5056 15.0000 
16.2263 30.0000 
-30.0000 -13.3712 
7.0460 15.0000 
18.9907 30.0000 
-30.0000 -17.2572 
8.6936 15.0000 
21.1270 30.0000 
-30.0000 -19.9290 
9.8516 15.0000 
22.8266 30.0000 
-30.0000 -21.8203 
10.7999 15.0000 
24.2106 30.0000 
-30.0000 -23.3507 
11.6125 15.0000 
25.3346 30.0000 
-30.0000 -24.6371 
12.2786 15.0000 
26.2402 30.0000 
-30.0000 -25.6867 
12.8088 15.0000 
26.9686 30.0000 
-30.0000 -26.5255 
13.2320 15.0000 
27.5554 30.0000 
-30.0000 -27.1973 
13.5736 15.0000 
28.0289 30.0000 
-30.0000 -27.7392 
13.8499 15.0000 
28.4108 30.0000 
-30.0000 -28.1772 
14.0729 15.0000 
28.7187 30.0000 
-30.0000 -28.5305 
14.2526 15.0000 
28.9669 30.0000 
-30.0000 -28.8152 
14.3973 15.0000 
29.1670 30.0000 
-30.0000 -29.0447 
14.5141 15.0000 
29.3284 30.0000 
-30.0000 -29.2298 
14.6082 15.0000 
29.4585 30.0000 
-30.0000 -29.3790 
14.6841 15.0000 
29.5634 30.0000 
-30.0000 -29.4993 
14.7453 15.0000 
29.6480 30.0000 
-30.0000 -29.5963 
14.7946 15.0000 
29.7162 30.0000 
-30.0000 -29.6745 
14.8344 15.0000 
29.7712 30.0000 
-30.0000 -29.7375 
14.8665 15.0000 
29.8155 30.0000 
-30.0000 -29.7884 
14.8924 15.0000 
29.8512 30.0000 
-30.0000 -29.8294 
14.9132 15.0000 
29.8801 30.0000 
-30.0000 -29.8624 
14.9300 15.0000 
29.9033 30.0000 
-30.0000 -29.8891 
14.9436 15.0000 
29.9220 30.0000 
-30.0000 -29.9106 
14.9545 15.0000 
29.9371 30.0000 
-30.0000 -29.9279 
14.9633 15.0000 
29.9493 30.0000 
-30.0000 -29.9419 
14.9704 15.0000 
29.9591 30.0000 
-30.0000 -29.9531 
14.9762 15.0000 
29.9670 30.0000 
-30.0000 -29.9622 
14.9808 15.0000 
29.9734 30.0000 
-30.0000 -29.9695 
14.9845 15.0000 
29.9786 30.0000 
-30.0000 -29.9754 
14.9875 15.0000 
29.9827 30.0000 
-30.0000 -29.9802 
14.9899 15.0000 
29.9861 30.0000 
-30.0000 -29.9840 
14.9919 15.0000 
29.9888 30.0000 
-30.0000 -29.9871 
14.9934 15.0000 
29.9909 30.0000 
-30.0000 -29.9896 
14.9947 15.0000 
29.9927 30.0000 
-30.0000 -29.9916 
14.9957 15.0000 
29.9941 30.0000 
-30.0000 -29.9933 
14.9966 15.0000 
29.9953 30.0000 
-30.0000 -29.9946 
14.9972 15.0000 
29.9962 30.0000 
-30.0000 -29.9956 
14.9978 15.0000 
29.9969 30.0000 
-30.0000 -29.9965 
14.9982 15.0000 
29.9975 30.0000 
-30.0000 -29.9971 
14.9985 15.0000 
29.9980 30.0000 
